2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_play_si.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_color.xml
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_color_no.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_color_si.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_crypt.xml
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_crypt_no.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_crypt_si.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_label.xml
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_label_no.png
2021-08-29 10:36:32.364 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_label_si.png
2021-08-29 10:36:32.364 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_logo.xml
2021-08-29 10:36:32.364 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_logo_no.png
2021-08-29 10:36:32.364 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_logo_si.png
2021-08-29 10:36:32.364 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_qr_tamanio.xml
